DATE,M2SL,Pct_Change_Monthly,M2_Supply_Inc
2009-01-01,8271.2,,
2009-02-01,8300.5,0.003542412225553626,1.0035424122255536
2009-03-01,8366.5,0.007951328233238852,1.0115219073411352
2009-04-01,8369.9,0.0004063825972628887,1.0119329722410288
2009-05-01,8427.6,0.00689375022401717,1.0189089853951059
2009-06-01,8437.2,0.0011391143386016989,1.0200696392300994
2009-07-01,8442.0,0.0005689091167684346,1.0206499661475963
2009-08-01,8441.8,-2.369106846722424e-05,1.0206257858593673
2009-09-01,8441.1,-8.29207041150859e-05,1.0205411548505656
2009-10-01,8468.1,0.0031986352489603576,1.0238054937614853
2009-11-01,8498.2,0.0035545163614034703,1.0274446271399553
2009-12-01,8493.1,-0.0006001270857358687,1.026828029790115
2010-01-01,8455.4,-0.004438897457936575,1.0222700454589415
2010-02-01,8505.1,0.005877900513281631,1.028278847083857
2010-03-01,8502.2,-0.00034097188745574325,1.027928232904536
2010-04-01,8532.8,0.0035990684763942404,1.0316278170035784
2010-05-01,8587.7,0.00643399587474236,1.038265306122449
2010-06-01,8606.7,0.002212466667443014,1.0405624335042074
2010-07-01,8616.3,0.001115410087489721,1.0417230873392007
2010-08-01,8666.7,0.005849378503534064,1.047816519972918
2010-09-01,8697.8,0.0035884477367393863,1.0515765547925329
2010-10-01,8746.9,0.005645105658902194,1.057512815552761
2010-11-01,8767.7,0.0023779853433789633,1.060027565528581
2010-12-01,8799.4,0.003615543415034672,1.063860141212883
2011-01-01,8820.4,0.0023865263540696624,1.0663990714769318
2011-02-01,8884.2,0.007233232052968219,1.0741125834219942
2011-03-01,8940.6,0.006348348753967725,1.0809314247025823
2011-04-01,9002.1,0.006878732970941437,1.0883668633330108
2011-05-01,9072.7,0.00784261450106083,1.0969025050778602
2011-06-01,9148.4,0.008343712456049257,1.1060547441725501
2011-07-01,9313.8,0.01807966420357654,1.1260518425379626
2011-08-01,9505.0,0.02052867787584023,1.1491681980849207
2011-09-01,9525.8,0.00218832193582319,1.1516829480607405
2011-10-01,9559.5,0.0035377606080329027,1.1557573266273329
2011-11-01,9610.1,0.005293163868403283,1.1618749395492791
2011-12-01,9657.7,0.004953122235980878,1.1676298481477896
2012-01-01,9731.5,0.007641570974455503,1.1765523745043036
2012-02-01,9789.3,0.005939474901094366,1.183540477802495
2012-03-01,9837.1,0.004882882330708105,1.1893195666892344
2012-04-01,9889.9,0.005367435524697317,1.1957031627816999
2012-05-01,9934.6,0.004519762586072673,1.2011074572008893
2012-06-01,9998.1,0.006391802387615053,1.2087846987136084
2012-07-01,10055.3,0.005721087006531178,1.2157002611471124
2012-08-01,10115.2,0.005957057472179006,1.2229422574717088
2012-09-01,10193.1,0.007701281240113822,1.232360479736918
2012-10-01,10256.5,0.006219893849761071,1.2400256311055224
2012-11-01,10319.8,0.006171695997659876,1.247678692330012
2012-12-01,10451.5,0.012761875230140163,1.2636014121288321
2013-01-01,10477.0,0.0024398411711237245,1.266684398878034
2013-02-01,10489.1,0.0011549107568959993,1.2681473063158906
2013-03-01,10555.8,0.006358982181502659,1.276211432440274
2013-04-01,10590.3,0.003268345364633607,1.2803825321597826
2013-05-01,10630.1,0.0037581560484596377,1.2851944095173609
2013-06-01,10682.5,0.0049293985945568775,1.2915296450333682
2013-07-01,10728.9,0.004343552539199491,1.2971394719025042
2013-08-01,10783.5,0.0050890585241729624,1.303740690589031
2013-09-01,10835.3,0.004803635183382005,1.310003385240351
2013-10-01,10948.7,0.010465792363848037,1.3237136086662147
2013-11-01,10954.1,0.0004932092394529519,1.3243664764483984
2013-12-01,11020.3,0.00604339927515718,1.332370151852209
2014-01-01,11076.6,0.005108753845176839,1.339176902988683
2014-02-01,11169.3,0.008368994095661053,1.3503844665828408
2014-03-01,11207.6,0.0034290421064884224,1.3550149917787013
2014-04-01,11259.8,0.004657553802776659,1.3613260470064796
2014-05-01,11326.3,0.005905966358194625,1.369365992842634
2014-06-01,11377.2,0.004493965372628361,1.3755198761969236
2014-07-01,11434.0,0.0049924410223955995,1.3823870780539695
2014-08-01,11462.9,0.0025275494140282184,1.385881129703065
2014-09-01,11496.7,0.0029486430135481356,1.3899675984137723
2014-10-01,11558.6,0.005384153713674289,1.3974513976206588
2014-11-01,11594.7,0.0031232156143476963,1.4018159396459997
2014-12-01,11674.0,0.006839331763650591,1.4114034239288122
2015-01-01,11743.9,0.0059876648963508305,1.41985443466486
2015-02-01,11871.7,0.010882245250726008,1.4353056388432142
2015-03-01,11888.1,0.0013814365255186978,1.437288422477995
2015-04-01,11927.6,0.003322650381473835,1.4420640294032294
2015-05-01,11957.9,0.002540326637378687,1.445727343069928
2015-06-01,12002.9,0.003763202569012858,1.451167907921461
2015-07-01,12052.0,0.004090678086129174,1.4571041686816892
2015-08-01,12100.6,0.004032525721871849,1.4629799787213449
2015-09-01,12154.6,0.004462588631968689,1.4695086565431845
2015-10-01,12192.5,0.0031181610254553682,1.4740908211625867
2015-11-01,12277.0,0.006930490055361949,1.4843069929393544
2015-12-01,12340.1,0.005139692107192451,1.4919358738756152
2016-01-01,12471.4,0.010640108264924786,1.507810233097977
2016-02-01,12552.3,0.006486841894254081,1.5175911596866218
2016-03-01,12616.6,0.005122567178923454,1.525365122352257
2016-04-01,12697.0,0.006372556790260386,1.5350855982203293
2016-05-01,12763.7,0.005253209419547877,1.5431497243447125
2016-06-01,12830.6,0.005241426858982878,1.5512380307573248
2016-07-01,12889.1,0.00455941265412374,1.5583107650643178
2016-08-01,12968.2,0.006136968446206481,1.5678740690589015
2016-09-01,13027.4,0.0045650128776544285,1.5750314343746956
2016-10-01,13099.7,0.005549841104134368,1.583772608569492
2016-11-01,13174.1,0.0056795193783063525,1.5927676757906932
2016-12-01,13214.2,0.0030438511928709833,1.597615823580615
2017-01-01,13288.7,0.0056378744078340315,1.606622980945931
2017-02-01,13359.2,0.005305259355693259,1.6151465325466663
2017-03-01,13428.6,0.005194921851607859,1.6235370925621415
2017-04-01,13486.6,0.004319139746511214,1.6305493761485619
2017-05-01,13537.3,0.003759286995981048,1.6366790792146222
2017-06-01,13564.7,0.0020240372895630188,1.6399917787020004
2017-07-01,13621.8,0.004209455424742048,1.64689525099139
2017-08-01,13671.4,0.0036412221585986337,1.6528919624721905
2017-09-01,13714.4,0.003145252132188414,1.6580907244414334
2017-10-01,13767.6,0.003879134340547319,1.664522681110357
2017-11-01,13802.4,0.002527673668613284,1.6687300512622094
2017-12-01,13854.8,0.0037964411986322055,1.6750652867782168
2018-01-01,13872.0,0.0012414470075352568,1.677144791565914
2018-02-01,13914.6,0.0030709342560553132,1.6822951929586984
2018-03-01,13971.2,0.004067669929426643,1.6891382145275153
2018-04-01,14001.3,0.0021544319743471707,1.6927773479059853
2018-05-01,14066.0,0.004620999478619936,1.7005996711480784
2018-06-01,14125.8,0.004251386321626471,1.70782957732856
2018-07-01,14155.2,0.002081298050375935,1.7113840796982283
2018-08-01,14197.7,0.0030024302023283767,1.7165223909468983
2018-09-01,14228.4,0.002162322066250111,1.7202340651900552
2018-10-01,14235.8,0.0005200865873886684,1.7211287358545297
2018-11-01,14254.9,0.0013416878573737634,1.7234379533804027
2018-12-01,14373.9,0.008348006650344741,1.737825224876679
2019-01-01,14443.3,0.0048281955488767014,1.7462157848921542
2019-02-01,14486.2,0.002970235334030402,1.7514024567172826
2019-03-01,14533.5,0.0032651765128191013,1.7571210948834495
2019-04-01,14568.9,0.0024357518835793623,1.7614010058999887
2019-05-01,14668.4,0.006829616511884851,1.773430699293934
2019-06-01,14787.0,0.00808540808813496,1.787769610213752
2019-07-01,14857.9,0.0047947521471563,1.7963415223909451
2019-08-01,14935.2,0.005202619481891935,1.8056872037914677
2019-09-01,15026.6,0.006119770742942787,1.816737595512137
2019-10-01,15153.1,0.00841840469567301,1.8320316278170021
2019-11-01,15251.3,0.006480522137384259,1.8439041493374584
2019-12-01,15325.8,0.004884829489945064,1.852911306702774
2020-01-01,15406.8,0.005285205340014976,1.8627043234355336
2020-02-01,15470.4,0.004128047355713038,1.870393655092367
2020-03-01,16011.4,0.03497000723963173,1.9358013347519083
2020-04-01,17039.1,0.0641855178185542,2.060051745816808
2020-05-01,17889.2,0.04989113274762169,2.162830060934324
2020-06-01,18175.7,0.016015249424233602,2.1974683238224175
2020-07-01,18316.6,0.007752108584538675,2.214503336879773
2020-08-01,18378.5,0.003379448150857778,2.2219871360866597
2020-09-01,18601.6,0.01213918437304451,2.248960247606149
2020-10-01,18747.9,0.007864914846034798,2.2666481284456887
2020-11-01,18958.7,0.011243925986377024,2.292134152239092
2020-12-01,19129.5,0.009009056528137549,2.3127841183866886
2021-01-01,19393.2,0.013784991766643273,2.344665828416672
2021-02-01,19665.4,0.014035847616690411,2.37757520069639
2021-03-01,19913.3,0.01260589665097056,2.407546667956279
2021-04-01,20138.3,0.011298981082994874,2.4347494922139443
2021-05-01,20402.2,0.013104383190239544,2.4666553825321573
2021-06-01,20428.8,0.0013037809647977738,2.4698713608666187
2021-07-01,20578.1,0.007308309837092741,2.487921946029594
2021-08-01,20831.5,0.012314062036825613,2.518558371215782
2021-09-01,20994.2,0.007810287305282992,2.5382290356901027
2021-10-01,21187.1,0.00918825199340767,2.5615509236870078
